.wx.1.id,.wx.4.start_time,.wx.5.start_date,.wx.6.end_time,.wx.7.end_date,.wx.8.session_length,01_gender,02_age,03_prog_exp,04_bodyheight,05_skill_tech,06_loc,07_genre,08_loudness,09_smoke,10_motivation,11_soul,12_soul_phil,rt_1,rt_2,rt_3,z0_browser_screen_h,z0_browser_screen_w,...32
344523856,10:22:02,03/11/24,10:22:42,03/11/24,40,woman,26,2,168,79,06,rock,66,0,100,yes,dualism,2288,5928,31570,1080,1920,NA
999025379,10:05:57,05/14/24,10:07:47,05/14/24,110,woman,26,1,160,37,05,pop,69,0,9,yes,dunno,6870,11967,88945,900,1440,NA
239773384,10:05:59,05/14/24,10:07:53,05/14/24,114,woman,21,2,171,34,05,pop,64,0,62,yes,monism,12296,19323,81983,768,1366,NA
865087508,10:06:05,05/14/24,10:07:49,05/14/24,104,woman,22,2,166,67,05,techno,93,0,75,dunno,dunno,3637,17302,82005,720,1280,NA
915666814,10:06:07,05/14/24,10:07:32,05/14/24,85,woman,22,1,169,81,05,rock,90,0,81,yes,dunno,4030,20953,60276,864,1536,NA
324159498,10:06:10,05/14/24,10:07:46,05/14/24,96,woman,21,2,164,18,05,pop,59,0,55,no,monism,5719,11047,76895,720,1280,NA
813216450,10:06:14,05/14/24,10:07:36,05/14/24,82,woman,25,2,161,9,04,rock,77,1,63,dunno,dunno,2153,14195,61368,900,1440,NA
873807635,10:06:20,05/14/24,10:07:56,05/14/24,96,woman,21,2,166,57,05,pop,92,0,53,dunno,dunno,2302,7234,85452,900,1440,NA
823645732,10:06:46,05/14/24,10:07:55,05/14/24,69,man,23,2,183,72,05,rock,90,1,96,no,NA,9129,11863,47067,1117,1728,NA
677843294,10:06:48,05/14/24,10:08:46,05/14/24,118,man,20,1,172,21,05,pop,64,0,84,yes,monism,4014,24289,88115,915,412,NA
711995141,10:07:22,05/14/24,10:08:50,05/14/24,88,woman,23,0,160,1,05,techno,81,0,73,dunno,dualism,2526,11253,73055,900,1440,NA
69218158,10:07:48,05/14/24,10:08:52,05/14/24,64,woman,20,0,164,0,05,rock,81,0,60,yes,dualism,1263,9581,48517,896,414,NA
255043904,10:08:49,05/14/24,10:09:59,05/14/24,70,woman,26,2,170,13,05,rock,89,0,63,dunno,dunno,2588,13897,48441,864,1536,NA
